iter	MultiClass
0	0.9863795479
1	0.9028107073
2	0.8273984197
3	0.7702991668
4	0.7184158941
5	0.6678622565
6	0.628003411
7	0.5935489924
8	0.5649548114
9	0.5398184387
10	0.5172988179
11	0.495462528
12	0.4780888575
13	0.4622490878
14	0.4472650827
15	0.434700896
16	0.4235500819
17	0.4120975747
18	0.4034472563
19	0.3936794039
20	0.3871946001
21	0.379814925
22	0.3742442654
23	0.3672727111
24	0.3618751799
25	0.3578400749
26	0.3531191981
27	0.3491659192
28	0.346006922
29	0.34222257
30	0.3386509377
31	0.3359765784
32	0.3328125471
33	0.3299026235
34	0.3276386532
35	0.3257129357
36	0.3246487381
37	0.3233319469
38	0.321133745
39	0.3184891291
40	0.3165619389
41	0.3151546287
42	0.3137206328
43	0.3122754837
44	0.3111589154
45	0.3095972077
46	0.3081191068
47	0.306972631
48	0.305071979
49	0.3040225182
50	0.3024083707
51	0.3014626267
52	0.3004914497
53	0.2995903688
54	0.2985485304
55	0.2975019654
56	0.2961765354
57	0.2958058499
58	0.2955754409
59	0.2950511342
60	0.2940144163
61	0.2930551682
62	0.2918742936
63	0.2911273618
64	0.289990894
65	0.2890044347
66	0.2880984028
67	0.2873279671
68	0.2864137213
69	0.2858212032
70	0.2850167076
71	0.2842450504
72	0.2833684589
73	0.2828977857
74	0.2821527533
75	0.2811137636
76	0.280539487
77	0.2799749373
78	0.2790177217
79	0.2781694787
80	0.2776126756
81	0.2766100526
82	0.2758600361
83	0.2746179064
84	0.2738692213
85	0.2732219922
86	0.2722251884
87	0.2717735672
88	0.2708416483
89	0.2697664732
90	0.2694232876
91	0.268955835
92	0.2683076271
93	0.2676226212
94	0.2670313953
95	0.2663124137
96	0.2658855723
97	0.2651552534
98	0.2647988779
99	0.2644045967
100	0.2637892608
101	0.2630198983
102	0.2625993012
103	0.2622731888
104	0.2617314509
105	0.2611922669
106	0.2603959219
107	0.2600290025
108	0.2595694009
109	0.2589143047
110	0.2583976251
111	0.2580762905
112	0.2575377853
113	0.2570052757
114	0.2566035437
115	0.2561366591
116	0.2557639434
117	0.2553581678
118	0.2550832388
119	0.2545454741
120	0.2541313911
121	0.2534846273
122	0.2529928687
123	0.252572192
124	0.2520640783
125	0.251482841
126	0.2508790423
127	0.2504194233
128	0.2500002196
129	0.2496273439
130	0.2490897047
131	0.2487011731
132	0.2484436439
133	0.247849273
134	0.247458927
135	0.2471005769
136	0.2465800928
137	0.2462237444
138	0.2458548571
139	0.2454160094
140	0.2452314057
141	0.2449518566
142	0.2445823418
143	0.2440991949
144	0.2435126466
145	0.2431407043
146	0.2428056655
147	0.2423623445
148	0.2419467641
149	0.2414380832
150	0.2411695915
151	0.2407174508
152	0.2404011778
153	0.2398244882
154	0.2392918317
155	0.2387572427
156	0.2384558521
157	0.238176228
158	0.2378307536
159	0.2374417305
160	0.2371140673
161	0.2367884549
162	0.236529428
163	0.2362394306
164	0.2358563491
165	0.2355746269
166	0.23535614
167	0.2350916247
168	0.234866512
169	0.2346188729
170	0.234282092
171	0.2337059162
172	0.2332529548
173	0.2329137823
174	0.2325318468
175	0.2322351348
176	0.2319336809
177	0.2316129827
178	0.2311856296
179	0.230963116
180	0.2305854021
181	0.2302535061
182	0.2300423029
183	0.2298992091
184	0.2296134413
185	0.2293096292
186	0.2290698869
187	0.2287574072
188	0.2284920823
189	0.2282438043
190	0.227944629
191	0.2276301907
192	0.2272603221
193	0.2270469228
194	0.2267922942
195	0.2265841131
196	0.2262406932
197	0.2259346345
198	0.2256727777
199	0.2252249951
