iter	Passed	Remaining
0	59	11804
1	59	5912
2	60	3977
3	60	2980
4	61	2383
5	61	1983
6	62	1713
7	62	1497
8	62	1334
9	63	1215
10	64	1104
11	64	1014
12	65	936
13	65	869
14	65	811
15	65	758
16	66	713
17	66	673
18	66	637
19	67	604
20	67	574
21	67	548
22	67	523
23	68	500
24	68	479
25	68	459
26	69	444
27	69	428
28	70	412
29	70	399
30	70	386
31	71	373
32	71	362
33	71	351
34	72	341
35	72	331
36	72	320
37	73	311
38	73	303
39	73	295
40	74	287
41	74	280
42	74	273
43	75	266
44	75	260
45	75	253
46	76	248
47	77	245
48	77	239
49	77	233
50	78	228
51	78	223
52	78	218
53	79	213
54	79	209
55	79	205
56	80	200
57	80	196
58	80	192
59	80	188
60	81	184
61	81	180
62	81	177
63	81	173
64	82	170
65	82	167
66	83	166
67	83	162
68	84	159
69	84	156
70	84	153
71	87	156
72	88	154
73	88	151
74	89	149
75	90	148
76	94	151
77	95	149
78	95	146
79	95	143
80	101	149
81	102	146
82	102	144
83	102	141
84	104	141
85	104	138
86	105	136
87	105	134
88	105	131
89	105	129
90	106	127
91	106	125
92	106	122
93	111	125
94	112	123
95	112	121
96	112	119
97	112	117
98	113	115
99	113	113
100	113	111
101	113	109
102	114	107
103	125	116
104	126	114
105	126	112
106	126	110
107	136	116
108	136	114
109	141	115
110	141	113
111	141	111
112	142	109
113	142	107
114	142	105
115	142	103
116	143	101
117	143	99
118	143	97
119	143	95
120	144	94
121	144	92
122	156	98
123	157	96
124	157	94
125	157	92
126	157	90
127	159	89
128	159	87
129	160	86
130	160	84
131	160	82
132	160	81
133	161	79
134	161	77
135	161	76
136	162	74
137	163	73
138	163	71
139	163	70
140	164	68
141	164	67
142	164	65
143	165	64
144	165	62
145	165	61
146	165	59
147	166	58
148	166	57
149	166	55
150	167	54
151	167	52
152	167	51
153	168	50
154	168	48
155	168	47
156	169	46
157	169	45
158	169	43
159	170	42
160	170	41
161	170	40
162	170	38
163	171	37
164	171	36
165	171	35
166	172	34
167	172	32
168	172	31
169	173	30
170	173	29
171	173	28
172	174	27
173	174	26
174	174	24
175	175	23
176	175	22
177	175	21
178	175	20
179	176	19
180	176	18
181	184	18
182	184	17
183	185	16
184	185	15
185	185	13
186	185	12
187	186	11
188	186	10
189	186	9
190	187	8
191	187	7
192	188	6
193	189	5
194	189	4
195	190	3
196	190	2
197	190	1
198	191	0
199	191	0
